case_id,open_date,case_topic,service_name,assigned_department,assigned_team,case_status,closure_reason,closure_comments,close_date,target_close_date,on_time,report_source,full_address,street_number,street_name,zip_code,neighborhood,public_works_district,city_council_district,fire_district,police_district,ward,precinct,submitted_photo,closed_photo,longitude,latitude
BCS-00099646,2025-10-08 13:10:55.16+00,Lane Divider,Lane Divider,Boston Transportation Department (BTD),Boston Transportation Department General,Closed,Transitioned,Test for launch!,2025-10-22 09:31:50+00,2025-10-11 13:10:55.16+00,OVERDUE,Call,"50 Brock St, Boston, MA 02135",50,Brock St,2135.0,Brighton,4,9,11,D14,22.0,10.0,,,-71.16057,42.350787
BCS-00110296,2025-10-31 17:44:37.923091+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,,2025-11-03 16:44:37.923091+00,OVERDUE,BOS311,"631 South St, Boston, MA 02131",631,South St,2131.0,Roslindale,2,5,10,E5,19.0,11.0,,,-71.124741,42.291036
BCS-00111726,2025-11-04 08:12:32.83958+00,Tree or Stump Removal,Tree or Stump Removal,Parks & Recreation,Urban Forestry,Closed,Noted,The trees in question are under warranty by the planting contractor for two years from the date they are planted. These trees have been inspected and are currently pending replacement by the planting contractor this fall.,2025-11-05 08:16:01+00,2025-11-07 08:12:32.83958+00,ONTIME,BOS311,"248-270 Cambridge St, Boston, MA 02114",250,Cambridge St,2114.0,Beacon Hill,1B,8,3,A1,5.0,4.0,,,-71.067474,42.360894
BCS-00111603,2025-11-03 17:50:54.91819+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,,2025-11-06 17:50:54.91819+00,OVERDUE,BOS311,"572-584 Bennington St, Boston, MA 02128",,Bennington St,2128.0,East Boston,9,1,1,A7,1.0,11.0,,,-71.017704,42.383088
BCS-00110921,2025-11-02 17:47:08.247714+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,,2025-11-05 17:47:08.247714+00,OVERDUE,BOS311,"249 Cambridge St, Boston, MA 02134",249,Cambridge St,2134.0,Allston,4,9,11,D14,22.0,1.0,,,-71.1275895,42.35778
BCS-00075040,2025-08-20 10:29:30.941+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,Closed,Noted,,2025-08-21 17:00:08+00,2025-08-23 10:29:30.941+00,ONTIME,Call,"830 Washington St, Chinatown, MA 02111",830,Washington St,2111.0,Chinatown,1C,2,4,A1,3.0,8.0,,,-71.0634555,42.349176
BCS-00097742,2025-10-03 17:47:36.482+00,Wild Animal Issue,Wild Animal Issue,Animal Care & Control,Animal control staff,In progress,,,,2025-10-06 17:47:36.482+00,OVERDUE,Call,"64 Brent St, Dorchester, MA 02124",64,Brent St,2124.0,Dorchester,7A,3,8,C11,16.0,3.0,,,-71.0682795,42.289839
BCS-00109136,2025-10-29 16:21:44.907589+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,,2025-11-01 16:21:44.907589+00,OVERDUE,BOS311,"12 Chestnut St, Boston, MA 02108",12,Chestnut St,2108.0,Beacon Hill,1B,8,3,A1,5.0,3.0,,,-71.066709,42.357573
BCS-00099342,2025-10-07 18:45:33.228+00,Wild Animal Issue,Wild Animal Issue,Animal Care & Control,Animal control staff,In progress,,,,2025-10-10 18:45:33.228+00,OVERDUE,Call,"59 Moseley St, Dorchester, MA 02125",59,Moseley St,2125.0,Dorchester,3,3,7,C11,13.0,7.0,,,-71.0540505,42.320592
BCS-00111740,2025-11-04 08:40:13.327386+00,Wild Animal Issue,Wild Animal Issue,Animal Care & Control,Animal control staff,Closed,Noted,,2025-11-04 15:00:12+00,2025-11-07 08:40:13.327386+00,ONTIME,BOS311,"1075 Washington St 1, Mattapan, MA 02124",1075,Washington St,2124.0,Mattapan,7A,3,8,C11,17.0,13.0,,,-71.07021,42.27453
BCS-00069427,2025-08-09 10:47:18.381+00,Wild Animal Issue,Wild Animal Issue,Animal Care & Control,Animal control staff,Closed,Noted,,2025-08-09 11:15:09+00,2025-08-12 10:47:18.381+00,ONTIME,Call,"14 Montebello Rd, Jamaica Plain, MA 02130",14,Montebello Rd,2130.0,Jamaica Plain,2,6,9,E13,11.0,6.0,,,-71.102358,42.31323
BCS-00074079,2025-08-18 19:12:16.665+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,Closed,Noted,,2025-08-18 19:30:07+00,2025-08-21 19:12:16.665+00,ONTIME,Call,"320 Shawmut Ave, South End, MA 02118",320,Shawmut Ave,2118.0,South End,1C,3,4,D4,3.0,16.0,,,-71.0707095,42.341895
BCS-00108572,2025-10-28 16:29:27.772314+00,Tree or Stump Removal,Tree or Stump Removal,Parks & Recreation,Urban Forestry,In progress,,,,2025-10-31 16:29:27.772314+00,OVERDUE,BOS311,"4 Monsignor John J. O'Donnell Sq, Boston, MA 02122",4,Monsignor John J. O'Donnell Sq,2122.0,Dorchester,7A,3,8,C11,16.0,7.0,,,-71.0485875,42.290523
BCS-00113518,2025-11-06 20:09:14.349+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,,2025-11-09 20:09:14.349+00,ONTIME,Call,"400-412 Neponset Ave, Boston, MA 02122",402,Neponset Ave,2122.0,Dorchester,7A,3,8,C11,16.0,10.0,,,-71.043831,42.286509
BCS-00105235,2025-10-21 15:55:17.526+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,Closed,Noted,,2025-10-21 17:15:06+00,2025-10-24 15:55:17.526+00,ONTIME,Call,"Greendale Rd & Wellington Hill St, Mattapan, MA 02126",,Greendale Rd & Wellington Hill St,2126.0,Mattapan,7B,5,12,B3,14.0,14.0,,,-71.0930205,42.284934
BCS-00107964,2025-10-27 20:57:35.609401+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,,2025-10-30 20:57:35.609401+00,OVERDUE,BOS311,"5 Mansfield St, Boston, MA 02134",5,Mansfield St,2134.0,Allston,4,9,11,D14,22.0,2.0,,,-71.13033046,42.35682966
BCS-00098804,2025-10-06 21:31:06.589+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,In progress,,,,2025-10-09 21:31:06.589+00,OVERDUE,Call,"1 City Hall Plz, Downtown, MA 02114",1,City Hall Plz,2114.0,Downtown,1B,1,3,A1,3.0,6.0,,,-71.0582715,42.3603
BCS-00095658,2025-09-29 18:20:43.949+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,Closed,Noted,,2025-09-29 18:45:05+00,2025-10-02 18:20:43.965+00,ONTIME,Call,"187 E Cottage St, Dorchester, MA 02125",187,E Cottage St,2125.0,Dorchester,3,3,7,C11,7.0,10.0,,,-71.06121,42.319917
BCS-00110729,2025-11-01 21:40:03.977585+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,,2025-11-04 20:40:03.977585+00,OVERDUE,BOS311,"60 Pierce Ave, Boston, MA 02122",60,Pierce Ave,2122.0,Dorchester,7A,3,8,C11,16.0,9.0,,,-71.051742,42.287742
BCS-00112638,2025-11-05 11:57:43.963263+00,Pruning Request,Pruning Request,Parks & Recreation,Urban Forestry,In progress,,,,2025-11-08 11:57:43.963263+00,ONTIME,BOS311,"10 A St, Boston, MA 02127",8,A St,2127.0,South Boston,5,2,6,C6,6.0,1.0,,,-71.0568,42.340887
BCS-00085196,2025-09-07 12:47:56.17+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,Closed,Noted,,2025-09-07 15:15:15+00,2025-09-10 12:47:56.17+00,ONTIME,Call,"1800 Centre St, West Roxbury, MA 02132",1800,Centre St,2132.0,West Roxbury,6A,6,10,E5,20.0,18.0,,,-71.1520065,42.286311
BCS-00107117,2025-10-25 14:37:53.979+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,In progress,,,,2025-10-28 14:37:53.979+00,OVERDUE,Call,"350 S Huntington Ave, Jamaica Plain, MA 02130",350,S Huntington Ave,2130.0,Jamaica Plain,2,6,9,E13,10.0,9.0,,,-71.111043,42.32277
BCS-00099289,2025-10-07 16:39:24.978+00,Wild Animal Issue,Wild Animal Issue,Animal Care & Control,Animal control staff,In progress,,,,2025-10-10 16:39:24.978+00,OVERDUE,Call,Monsignor O'Brien Hwy & Nashua St,1,Leverett Cir,2114.0,West End,1B,8,3,A1,3.0,10.0,,,-71.06759548,42.36652691
